DATAFLOW,LAST UPDATE,freq,siec,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Combustible fuels,Gigawatt-hour,Bulgaria,2019-01,2258.890,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Combustible fuels,Gigawatt-hour,Bulgaria,2019-02,1845.247,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Combustible fuels,Gigawatt-hour,Bulgaria,2019-03,1554.049,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Combustible fuels,Gigawatt-hour,Bulgaria,2019-04,1379.775,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Combustible fuels,Gigawatt-hour,Bulgaria,2019-05,1375.143,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Combustible fuels,Gigawatt-hour,Bulgaria,2019-06,896.189,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Combustible fuels,Gigawatt-hour,Bulgaria,2019-07,1314.809,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Combustible fuels,Gigawatt-hour,Bulgaria,2019-08,1362.459,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Combustible fuels,Gigawatt-hour,Bulgaria,2019-09,1406.239,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Combustible fuels,Gigawatt-hour,Bulgaria,2019-10,1770.537,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Combustible fuels,Gigawatt-hour,Bulgaria,2019-11,1604.063,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Combustible fuels,Gigawatt-hour,Bulgaria,2019-12,1700.854,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Combustible fuels,Gigawatt-hour,Bulgaria,2020-01,1650.420,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Combustible fuels,Gigawatt-hour,Bulgaria,2020-02,1572.737,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Combustible fuels,Gigawatt-hour,Bulgaria,2020-03,1417.260,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Combustible fuels,Gigawatt-hour,Bulgaria,2020-04,1115.590,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Combustible fuels,Gigawatt-hour,Bulgaria,2020-05,914.831,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Combustible fuels,Gigawatt-hour,Bulgaria,2020-06,842.407,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Combustible fuels,Gigawatt-hour,Bulgaria,2020-07,1023.758,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Combustible fuels,Gigawatt-hour,Bulgaria,2020-08,1061.360,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Combustible fuels,Gigawatt-hour,Bulgaria,2020-09,1163.197,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Combustible fuels,Gigawatt-hour,Bulgaria,2020-10,1374.451,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Combustible fuels,Gigawatt-hour,Bulgaria,2020-11,1437.097,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Combustible fuels,Gigawatt-hour,Bulgaria,2020-12,1562.621,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Combustible fuels,Gigawatt-hour,Bulgaria,2021-01,1548.855,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Combustible fuels,Gigawatt-hour,Bulgaria,2021-02,1336.965,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Combustible fuels,Gigawatt-hour,Bulgaria,2021-03,1602.355,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Combustible fuels,Gigawatt-hour,Bulgaria,2021-04,1602.514,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Combustible fuels,Gigawatt-hour,Bulgaria,2021-05,1376.499,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Combustible fuels,Gigawatt-hour,Bulgaria,2021-06,815.452,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Combustible fuels,Gigawatt-hour,Bulgaria,2021-07,1437.713,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Combustible fuels,Gigawatt-hour,Bulgaria,2021-08,1616.915,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Combustible fuels,Gigawatt-hour,Bulgaria,2021-09,1846.329,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Combustible fuels,Gigawatt-hour,Bulgaria,2021-10,2282.402,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Combustible fuels,Gigawatt-hour,Bulgaria,2021-11,2101.234,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Combustible fuels,Gigawatt-hour,Bulgaria,2021-12,2296.642,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Combustible fuels,Gigawatt-hour,Bulgaria,2022-01,2432.371,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Combustible fuels,Gigawatt-hour,Bulgaria,2022-02,2146.514,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Combustible fuels,Gigawatt-hour,Bulgaria,2022-03,2406.975,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Combustible fuels,Gigawatt-hour,Bulgaria,2022-04,1791.826,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Combustible fuels,Gigawatt-hour,Bulgaria,2022-05,1760.327,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Combustible fuels,Gigawatt-hour,Bulgaria,2022-06,1538.728,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Combustible fuels,Gigawatt-hour,Bulgaria,2022-07,1702.002,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Combustible fuels,Gigawatt-hour,Bulgaria,2022-08,1679.230,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Combustible fuels,Gigawatt-hour,Bulgaria,2022-09,1640.577,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Combustible fuels,Gigawatt-hour,Bulgaria,2022-10,1611.375,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Combustible fuels,Gigawatt-hour,Bulgaria,2022-11,2009.881,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Combustible fuels,Gigawatt-hour,Bulgaria,2022-12,2135.821,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Combustible fuels,Gigawatt-hour,Bulgaria,2023-01,1976.855,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Combustible fuels,Gigawatt-hour,Bulgaria,2023-02,1756.101,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Combustible fuels,Gigawatt-hour,Bulgaria,2023-03,1301.434,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Combustible fuels,Gigawatt-hour,Bulgaria,2023-04,958.774,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Combustible fuels,Gigawatt-hour,Bulgaria,2023-05,780.791,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Combustible fuels,Gigawatt-hour,Bulgaria,2023-06,508.831,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Combustible fuels,Gigawatt-hour,Bulgaria,2023-07,776.574,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Combustible fuels,Gigawatt-hour,Bulgaria,2023-08,780.192,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Combustible fuels,Gigawatt-hour,Bulgaria,2023-09,893.388,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Combustible fuels,Gigawatt-hour,Bulgaria,2023-10,1045.825,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Combustible fuels,Gigawatt-hour,Bulgaria,2023-11,1185.413,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Combustible fuels,Gigawatt-hour,Bulgaria,2023-12,1392.454,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Combustible fuels,Gigawatt-hour,Bulgaria,2024-01,1303.201,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Combustible fuels,Gigawatt-hour,Bulgaria,2024-02,927.548,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Combustible fuels,Gigawatt-hour,Bulgaria,2024-03,845.361,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Combustible fuels,Gigawatt-hour,Bulgaria,2024-04,592.407,,
