Dutch TTF Natural Gas Futures Historical Data;;;;;;
Date;Price;Open;High;Low;Vol.;Change %
11/01/2025;31.150;31.555;32.551;31.150;13.14K;0.09%
10/01/2025;31.122;31.275;36.000;30.790;57.44K;-0.92%
09/01/2025;31.411;32.200;33.420;31.420;56.36K;-0.67%
08/01/2025;31.622;35.150;35.160;30.650;53.02K;-10.37%
07/01/2025;35.279;33.100;36.320;32.100;178.87K;7.24%
06/01/2025;32.898;34.100;41.900;32.700;89.87K;-3.89%
05/01/2025;34.228;32.030;37.775;31.650;133.71K;5.91%
04/01/2025;32.317;40.875;42.950;30.900;104.84K;-20.53%
03/01/2025;40.667;46.950;47.230;37.205;80.13K;-8.24%
02/01/2025;44.320;54.200;59.335;41.336;217.08K;-16.75%
01/01/2025;53.237;50.215;53.755;43.225;243.23K;8.89%
12/01/2024;48.889;48.860;50.530;38.955;125.76K;2.25%
11/01/2024;47.811;39.325;49.240;38.550;148.29K;17.80%
10/01/2024;40.588;38.395;43.605;37.445;4.71K;3.95%
09/01/2024;39.044;39.845;39.845;32.525;7.15K;-1.96%
08/01/2024;39.825;36.140;42.860;34.825;14.00K;11.03%
07/01/2024;35.870;34.500;35.950;30.405;13.79K;4.03%
06/01/2024;34.480;36.230;38.500;32.430;8.69K;0.75%
05/01/2024;34.223;28.700;36.165;28.475;21.51K;17.52%
04/01/2024;29.120;27.340;33.715;25.185;14.23K;6.51%
03/01/2024;27.340;25.275;29.675;24.355;8.38K;9.95%
02/01/2024;24.865;30.140;30.715;22.650;9.40K;-17.76%
01/01/2024;30.235;33.395;35.045;26.725;12.16K;-6.54%
12/01/2023;32.350;42.795;44.120;31.635;17.85K;-23.14%
11/01/2023;42.090;46.590;50.370;39.570;29.33K;-12.32%
10/01/2023;48.005;40.610;55.670;35.880;28.87K;14.68%
09/01/2023;41.859;35.750;44.730;30.570;39.67K;19.49%
08/01/2023;35.030;29.115;44.700;26.980;33.50K;23.50%
07/01/2023;28.365;37.820;37.820;24.465;17.37K;-23.55%
06/01/2023;37.103;25.200;43.530;23.125;6.59K;38.19%
05/01/2023;26.850;38.835;38.835;23.790;4.22K;-30.33%
04/01/2023;38.540;49.900;51.835;38.300;2.01K;-19.45%
03/01/2023;47.845;47.250;54.230;38.855;0.94K;2.53%
02/01/2023;46.665;57.400;59.200;46.700;0.04K;-18.63%
01/01/2023;57.350;72.315;76.000;53.000;0.11K;-24.85%
12/01/2022;76.315;139.260;149.245;76.315;;-47.87%
11/01/2022;146.395;116.195;146.395;97.855;;18.68%
10/01/2022;123.350;169.910;175.710;99.170;;-34.67%
09/01/2022;188.800;243.005;243.005;173.835;0.01K;-21.30%
08/01/2022;239.905;200.795;339.195;192.185;;25.66%
07/01/2022;190.915;147.785;205.225;147.785;;32.11%
06/01/2022;144.515;85.550;144.515;79.405;0.03K;53.73%
