Data extracted on 17/11/2025 14:27:28 from [ESTAT];;;;;;;;;;;;;;;;;;;;;;;;
Dataset: ;Electricity prices for household consumers - bi-annual data (from 2007 onwards) [nrg_pc_204__custom_18929944];;;;;;;;;;;;;;;;;;;;;;;
Last updated: ;21/10/2025 23:00;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Time frequency;;Half-yearly, semesterly;;;;;;;;;;;;;;;;;;;;;;
Products;;Electrical energy;;;;;;;;;;;;;;;;;;;;;;
Energy consumption;;Consumption from 2 500 kWh to 4 999 kWh - band DC;;;;;;;;;;;;;;;;;;;;;;
Unit of measure;;Kilowatt-hour;;;;;;;;;;;;;;;;;;;;;;
Taxes;;Excluding taxes and levies;;;;;;;;;;;;;;;;;;;;;;
Currency;;Euro;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
TIME;2019-S1;;2019-S2;;2020-S1;;2020-S2;;2021-S1;;2021-S2;;2022-S1;;2022-S2;;2023-S1;;2023-S2;;2024-S1;;2024-S2;
GEO (Labels);;;;;;;;;;;;;;;;;;;;;;;;
Bulgaria;0,0831;;0,0798;;0,0831;;0,0818;;0,0853;;0,0909;;0,0911;;0,0956;;0,0948;;0,0993;;0,0989;;0,1014;
Denmark;0,1084;;0,1042;;0,0951;;0,0908;;0,1040;;0,1485;;0,2371;;0,3636;;0,2976;;0,1846;;0,1883;;0,1928;
Germany;0,1473;;0,1321;;0,1430;;0,1451;;0,1562;;0,1596;;0,1899;;0,2333;;0,2973;;0,2882;;0,2806;;0,2797;
Spain;0,1326;d;0,1287;;0,1178;;0,1260;;0,1358;;0,1878;;0,2579;;0,2966;;0,2165;;0,2068;;0,1841;;0,1882;
France;0,1148;;0,1260;;0,1242;;0,1292;;0,1289;;0,1356;;0,1566;;0,1723;;0,1893;;0,2161;;0,2219;;0,2223;
Netherlands;0,1360;;0,1360;;0,1386;;0,1360;;0,1361;;0,1488;;0,2109;;0,3256;;0,4318;;0,2638;;0,2900;;0,2544;
Poland;0,0898;;0,0867;;0,0926;;0,0953;;0,0921;;0,0882;;0,0912;;0,1003;;0,0918;;0,1164;;0,1035;;0,1399;
Finland;0,1173;;0,1201;;0,1178;;0,1205;;0,1200;;0,1259;;0,1335;;0,1806;e;0,1934;;0,1712;;0,1782;d;0,1629;d
Sweden;0,1297;e;0,1316;e;0,1200;;0,1271;;0,1340;;0,1733;;0,1815;;0,2489;;0,1784;;0,1407;;0,1571;;0,1507;
;;;;;;;;;;;;;;;;;;;;;;;;
Special value;;;;;;;;;;;;;;;;;;;;;;;;
:;not available;;;;;;;;;;;;;;;;;;;;;;;
Observation flags:;;;;;;;;;;;;;;;;;;;;;;;;
d;definition differs (see metadata);;;;;;;;;;;;;;;;;;;;;;;
e;estimated;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Data extracted on 17/11/2025 14:27:28 from [ESTAT];;;;;;;;;;;;;;;;;;;;;;;;
Dataset: ;Electricity prices for household consumers - bi-annual data (from 2007 onwards) [nrg_pc_204__custom_18929944];;;;;;;;;;;;;;;;;;;;;;;
Last updated: ;21/10/2025 23:00;;;;;;;;;;;;;;;;;;;;;;;
