DATAFLOW,LAST UPDATE,freq,siec,partner,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NRG_TI_GASM(1.0),12/11/25 11:00:00,Monthly,Natural gas,Total,Million cubic metres,Germany,2019-01,15223.000,,
ESTAT:NRG_TI_GASM(1.0),12/11/25 11:00:00,Monthly,Natural gas,Total,Million cubic metres,Germany,2019-02,13558.000,,
ESTAT:NRG_TI_GASM(1.0),12/11/25 11:00:00,Monthly,Natural gas,Total,Million cubic metres,Germany,2019-03,14578.000,,
ESTAT:NRG_TI_GASM(1.0),12/11/25 11:00:00,Monthly,Natural gas,Total,Million cubic metres,Germany,2019-04,14017.000,,
ESTAT:NRG_TI_GASM(1.0),12/11/25 11:00:00,Monthly,Natural gas,Total,Million cubic metres,Germany,2019-05,13960.000,,
ESTAT:NRG_TI_GASM(1.0),12/11/25 11:00:00,Monthly,Natural gas,Total,Million cubic metres,Germany,2019-06,12253.000,,
ESTAT:NRG_TI_GASM(1.0),12/11/25 11:00:00,Monthly,Natural gas,Total,Million cubic metres,Germany,2019-07,10537.000,,
ESTAT:NRG_TI_GASM(1.0),12/11/25 11:00:00,Monthly,Natural gas,Total,Million cubic metres,Germany,2019-08,11282.000,,
ESTAT:NRG_TI_GASM(1.0),12/11/25 11:00:00,Monthly,Natural gas,Total,Million cubic metres,Germany,2019-09,11346.000,,
ESTAT:NRG_TI_GASM(1.0),12/11/25 11:00:00,Monthly,Natural gas,Total,Million cubic metres,Germany,2019-10,12924.000,,
ESTAT:NRG_TI_GASM(1.0),12/11/25 11:00:00,Monthly,Natural gas,Total,Million cubic metres,Germany,2019-11,14263.000,,
ESTAT:NRG_TI_GASM(1.0),12/11/25 11:00:00,Monthly,Natural gas,Total,Million cubic metres,Germany,2019-12,14955.000,,
ESTAT:NRG_TI_GASM(1.0),12/11/25 11:00:00,Monthly,Natural gas,Total,Million cubic metres,Germany,2020-01,15329.096,,
ESTAT:NRG_TI_GASM(1.0),12/11/25 11:00:00,Monthly,Natural gas,Total,Million cubic metres,Germany,2020-02,13971.739,,
ESTAT:NRG_TI_GASM(1.0),12/11/25 11:00:00,Monthly,Natural gas,Total,Million cubic metres,Germany,2020-03,14008.030,,
ESTAT:NRG_TI_GASM(1.0),12/11/25 11:00:00,Monthly,Natural gas,Total,Million cubic metres,Germany,2020-04,13002.852,,
ESTAT:NRG_TI_GASM(1.0),12/11/25 11:00:00,Monthly,Natural gas,Total,Million cubic metres,Germany,2020-05,12768.447,,
ESTAT:NRG_TI_GASM(1.0),12/11/25 11:00:00,Monthly,Natural gas,Total,Million cubic metres,Germany,2020-06,12055.895,,
ESTAT:NRG_TI_GASM(1.0),12/11/25 11:00:00,Monthly,Natural gas,Total,Million cubic metres,Germany,2020-07,9596.712,,
ESTAT:NRG_TI_GASM(1.0),12/11/25 11:00:00,Monthly,Natural gas,Total,Million cubic metres,Germany,2020-08,11862.911,,
ESTAT:NRG_TI_GASM(1.0),12/11/25 11:00:00,Monthly,Natural gas,Total,Million cubic metres,Germany,2020-09,12191.105,,
ESTAT:NRG_TI_GASM(1.0),12/11/25 11:00:00,Monthly,Natural gas,Total,Million cubic metres,Germany,2020-10,13028.372,,
ESTAT:NRG_TI_GASM(1.0),12/11/25 11:00:00,Monthly,Natural gas,Total,Million cubic metres,Germany,2020-11,13687.576,,
ESTAT:NRG_TI_GASM(1.0),12/11/25 11:00:00,Monthly,Natural gas,Total,Million cubic metres,Germany,2020-12,13989.919,,
ESTAT:NRG_TI_GASM(1.0),12/11/25 11:00:00,Monthly,Natural gas,Total,Million cubic metres,Germany,2021-01,13710.403,,
ESTAT:NRG_TI_GASM(1.0),12/11/25 11:00:00,Monthly,Natural gas,Total,Million cubic metres,Germany,2021-02,12927.543,,
ESTAT:NRG_TI_GASM(1.0),12/11/25 11:00:00,Monthly,Natural gas,Total,Million cubic metres,Germany,2021-03,14938.991,,
ESTAT:NRG_TI_GASM(1.0),12/11/25 11:00:00,Monthly,Natural gas,Total,Million cubic metres,Germany,2021-04,14362.197,,
ESTAT:NRG_TI_GASM(1.0),12/11/25 11:00:00,Monthly,Natural gas,Total,Million cubic metres,Germany,2021-05,13749.294,,
ESTAT:NRG_TI_GASM(1.0),12/11/25 11:00:00,Monthly,Natural gas,Total,Million cubic metres,Germany,2021-06,12087.761,,
ESTAT:NRG_TI_GASM(1.0),12/11/25 11:00:00,Monthly,Natural gas,Total,Million cubic metres,Germany,2021-07,10443.034,,
