Reporter;TradeFlow;ProductCode;Product Description;Year;Partner;Trade Value 1000USD;Quantity;Quantity Unit
Japan;Import;271111;Natural gas, liquefied;2020;Russian Federation;        2353481.49;6.14041e+009;Kg
China;Import;271111;Natural gas, liquefied;2020;Russian Federation;        1718703.13;5.04706e+009;Kg
European Union;Import;271111;Natural gas, liquefied;2020;Russian Federation;        1641088.15;7.48935e+009;Kg
Other Asia, nes;Import;271111;Natural gas, liquefied;2020;Russian Federation;         914609.25;2.46856e+009;Kg
Korea, Rep.;Import;271111;Natural gas, liquefied;2020;Russian Federation;         776793.59;2.01908e+009;Kg
France;Import;271111;Natural gas, liquefied;2020;Russian Federation;         611261.17;2.22661e+009;Kg
United Kingdom;Import;271111;Natural gas, liquefied;2020;Russian Federation;         540559.05;2.38053e+009;Kg
Spain;Import;271111;Natural gas, liquefied;2020;Russian Federation;         459713.68;2.16458e+009;Kg
Belgium;Import;271111;Natural gas, liquefied;2020;Russian Federation;         301317.98;1.35127e+009;Kg
Portugal;Import;271111;Natural gas, liquefied;2020;Russian Federation;          97095.67;4.18406e+008;Kg
Finland;Import;271111;Natural gas, liquefied;2020;Russian Federation;          43902.32;1.37184e+008;Kg
Sweden;Import;271111;Natural gas, liquefied;2020;Russian Federation;          38957.65;1.32943e+008;Kg
Lithuania;Import;271111;Natural gas, liquefied;2020;Russian Federation;          35164.76;2.19389e+008;Kg
Pakistan;Import;271111;Natural gas, liquefied;2020;Russian Federation;          13164.35;6.37886e+007;Kg
Greece;Import;271111;Natural gas, liquefied;2020;Russian Federation;          12917.16;6.89009e+007;Kg
India;Import;271111;Natural gas, liquefied;2020;Russian Federation;          11650.25;6.64668e+007;Kg
Norway;Import;271111;Natural gas, liquefied;2020;Russian Federation;           2871.19;8.85503e+006;Kg
Estonia;Import;271111;Natural gas, liquefied;2020;Russian Federation;           2225.86;1.05534e+007;Kg
Kazakhstan;Import;271111;Natural gas, liquefied;2020;Russian Federation;           1107.48;4.46913e+006;Kg
Mongolia;Import;271111;Natural gas, liquefied;2020;Russian Federation;            228.78;407150;Kg
Belarus;Import;271111;Natural gas, liquefied;2020;Russian Federation;              2.20;6001;Kg
