"Country","Year","pipeline_MCM","LNG_MCM","Total_MCM"
"Bulgaria","2019-01",1235,0,1235
"Bulgaria","2019-02",720,0,720
"Bulgaria","2019-03",732,0,732
"Bulgaria","2019-04",886,0,886
"Bulgaria","2019-05",722,0,722
"Bulgaria","2019-06",661,0,661
"Bulgaria","2019-07",748,0,748
"Bulgaria","2019-08",743,0,743
"Bulgaria","2019-09",540,0,540
"Bulgaria","2019-10",769,0,769
"Bulgaria","2019-11",716,0,716
"Bulgaria","2019-12",766,0,766
"Bulgaria","2020-01",493.882,0,493.882
"Bulgaria","2020-02",380.805,0,380.805
"Bulgaria","2020-03",420.86,0,420.86
"Bulgaria","2020-04",371.364,0,371.364
"Bulgaria","2020-05",424.218,0,424.218
"Bulgaria","2020-06",361.815,0,361.815
"Bulgaria","2020-07",511.541,0,511.541
"Bulgaria","2020-08",514.6,0,514.6
"Bulgaria","2020-09",516.56,0,516.56
"Bulgaria","2020-10",421.15,0,421.15
"Bulgaria","2020-11",624.31,0,624.31
"Bulgaria","2020-12",661.741,0,661.741
"Bulgaria","2021-01",876.087,0,876.087
"Bulgaria","2021-02",829.784,0,829.784
"Bulgaria","2021-03",1029.156,0,1029.156
"Bulgaria","2021-04",942.589,0,942.589
"Bulgaria","2021-05",918.118,0,918.118
"Bulgaria","2021-06",761.452,0,761.452
"Bulgaria","2021-07",1120.883,0,1120.883
"Bulgaria","2021-08",1105.304,0,1105.304
"Bulgaria","2021-09",867.516,0,867.516
"Bulgaria","2021-10",1168.854,0,1168.854
"Bulgaria","2021-11",983.401,0,983.401
"Bulgaria","2021-12",1301.914,0,1301.914
"Bulgaria","2022-01",1023.635,0,1023.635
"Bulgaria","2022-02",1082.431,0,1082.431
"Bulgaria","2022-03",1193.713,0,1193.713
"Bulgaria","2022-04",853.722,0,853.722
"Bulgaria","2022-05",818.662,0,818.662
"Bulgaria","2022-06",559.013,0,559.013
"Bulgaria","2022-07",972.081,0,972.081
"Bulgaria","2022-08",1273.828,0,1273.828
"Bulgaria","2022-09",1110.114,0,1110.114
"Bulgaria","2022-10",961.792,0,961.792
"Bulgaria","2022-11",856.066,0,856.066
"Bulgaria","2022-12",1159.626,0,1159.626
"Bulgaria","2023-01",776.628,0,776.628
"Bulgaria","2023-02",871.696,0,871.696
"Bulgaria","2023-03",849.585,0,849.585
"Bulgaria","2023-04",1012.878,0,1012.878
"Bulgaria","2023-05",707.115,0,707.115
"Bulgaria","2023-06",713.662,0,713.662
"Bulgaria","2023-07",1297.778,0,1297.778
"Bulgaria","2023-08",1446.495,0,1446.495
"Bulgaria","2023-09",1372.083,0,1372.083
"Bulgaria","2023-10",1364.305,0,1364.305
"Bulgaria","2023-11",1218.562,0,1218.562
"Bulgaria","2023-12",1271.145,0,1271.145
"Bulgaria","2024-01",1169.52,0,1169.52
"Bulgaria","2024-02",1172.888,0,1172.888
"Bulgaria","2024-03",1362.521,0,1362.521
"Bulgaria","2024-04",1163.332,0,1163.332
"Bulgaria","2024-05",1368.996,0,1368.996
"Bulgaria","2024-06",1106.651,0,1106.651
"Bulgaria","2024-07",1429.729,0,1429.729
"Bulgaria","2024-08",1394.865,0,1394.865
"Bulgaria","2024-09",1351.541,0,1351.541
"Bulgaria","2024-10",1406.062,0,1406.062
"Bulgaria","2024-11",1405.618,0,1405.618
"Bulgaria","2024-12",1449.992,0,1449.992
"Bulgaria","2025-01",1478.314,0,1478.314
"Bulgaria","2025-02",1469.831,0,1469.831
"Bulgaria","2025-03",1333.114,0,1333.114
"Bulgaria","2025-04",1183.72,0,1183.72
"Bulgaria","2025-05",1340.205,0,1340.205
"Bulgaria","2025-06",1055.143,0,1055.143
"Bulgaria","2025-07",1495.229,0,1495.229
"Bulgaria","2025-08",1469.31,0,1469.31
"Germany","2019-01",5127,0,5127
"Germany","2019-02",4549,0,4549
"Germany","2019-03",5023,0,5023
"Germany","2019-04",5098,0,5098
"Germany","2019-05",5019,0,5019
"Germany","2019-06",4776,0,4776
"Germany","2019-07",3177,0,3177
"Germany","2019-08",4765,0,4765
"Germany","2019-09",4719,0,4719
"Germany","2019-10",4883,0,4883
"Germany","2019-11",4839,0,4839
"Germany","2019-12",5019,0,5019
"Germany","2020-01",5087.701,0,5087.701
"Germany","2020-02",4735.069,0,4735.069
"Germany","2020-03",5025.489,0,5025.489
"Germany","2020-04",4860.468,0,4860.468
"Germany","2020-05",5023.006,0,5023.006
"Germany","2020-06",4973.164,0,4973.164
"Germany","2020-07",3046.47,0,3046.47
"Germany","2020-08",5025.071,0,5025.071
"Germany","2020-09",4821.036,0,4821.036
"Germany","2020-10",5068.08,0,5068.08
"Germany","2020-11",4908.671,0,4908.671
"Germany","2020-12",5147.778,0,5147.778
"Germany","2021-01",5231.082,0,5231.082
"Germany","2021-02",4632.046,0,4632.046
"Germany","2021-03",5055.982,0,5055.982
"Germany","2021-04",4885.92,0,4885.92
"Germany","2021-05",5026.483,0,5026.483
"Germany","2021-06",4763.817,0,4763.817
"Germany","2021-07",3269.762,0,3269.762
"Germany","2021-08",5005.853,0,5005.853
"Germany","2021-09",4869.683,0,4869.683
"Germany","2021-10",5012.221,0,5012.221
"Germany","2021-11",5017.635,0,5017.635
"Germany","2021-12",5192.534,0,5192.534
"Germany","2022-01",4771.9,0,4771.9
"Germany","2022-02",4488.998,0,4488.998
"Germany","2022-03",4852.934,0,4852.934
"Germany","2022-04",4819.831,0,4819.831
"Germany","2022-05",5000.845,0,5000.845
"Germany","2022-06",3048.891,0,3048.891
"Germany","2022-07",1196.241,0,1196.241
"Germany","2022-08",952.901,0,952.901
"Germany","2022-09",0,0,0
"Germany","2022-10",0.07,0,0.07
"Germany","2022-11",0,0,0
"Germany","2022-12",0,0,0
"Germany","2023-01",0,0,0
"Germany","2023-02",0,0,0
"Germany","2023-03",0,0,0
"Germany","2023-04",0,0,0
"Germany","2023-05",0,0,0
"Germany","2023-06",0,0,0
"Germany","2023-07",0,0,0
