DATAFLOW,LAST UPDATE,freq,siec,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Wind,Gigawatt-hour,Bulgaria,2019-01,158.031,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Wind,Gigawatt-hour,Bulgaria,2019-02,169.365,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Wind,Gigawatt-hour,Bulgaria,2019-03,133.213,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Wind,Gigawatt-hour,Bulgaria,2019-04,85.111,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Wind,Gigawatt-hour,Bulgaria,2019-05,91.330,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Wind,Gigawatt-hour,Bulgaria,2019-06,84.033,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Wind,Gigawatt-hour,Bulgaria,2019-07,56.691,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Wind,Gigawatt-hour,Bulgaria,2019-08,89.461,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Wind,Gigawatt-hour,Bulgaria,2019-09,87.395,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Wind,Gigawatt-hour,Bulgaria,2019-10,60.497,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Wind,Gigawatt-hour,Bulgaria,2019-11,145.322,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Wind,Gigawatt-hour,Bulgaria,2019-12,157.341,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Wind,Gigawatt-hour,Bulgaria,2020-01,167.657,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Wind,Gigawatt-hour,Bulgaria,2020-02,176.257,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Wind,Gigawatt-hour,Bulgaria,2020-03,188.932,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Wind,Gigawatt-hour,Bulgaria,2020-04,127.131,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Wind,Gigawatt-hour,Bulgaria,2020-05,124.065,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Wind,Gigawatt-hour,Bulgaria,2020-06,68.726,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Wind,Gigawatt-hour,Bulgaria,2020-07,71.232,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Wind,Gigawatt-hour,Bulgaria,2020-08,78.551,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Wind,Gigawatt-hour,Bulgaria,2020-09,106.878,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Wind,Gigawatt-hour,Bulgaria,2020-10,92.499,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Wind,Gigawatt-hour,Bulgaria,2020-11,112.559,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Wind,Gigawatt-hour,Bulgaria,2020-12,163.639,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Wind,Gigawatt-hour,Bulgaria,2021-01,173.858,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Wind,Gigawatt-hour,Bulgaria,2021-02,130.717,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Wind,Gigawatt-hour,Bulgaria,2021-03,161.937,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Wind,Gigawatt-hour,Bulgaria,2021-04,80.575,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Wind,Gigawatt-hour,Bulgaria,2021-05,103.121,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Wind,Gigawatt-hour,Bulgaria,2021-06,86.449,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Wind,Gigawatt-hour,Bulgaria,2021-07,84.865,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Wind,Gigawatt-hour,Bulgaria,2021-08,65.243,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Wind,Gigawatt-hour,Bulgaria,2021-09,95.409,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Wind,Gigawatt-hour,Bulgaria,2021-10,121.035,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Wind,Gigawatt-hour,Bulgaria,2021-11,124.628,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Wind,Gigawatt-hour,Bulgaria,2021-12,206.351,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Wind,Gigawatt-hour,Bulgaria,2022-01,219.223,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Wind,Gigawatt-hour,Bulgaria,2022-02,143.742,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Wind,Gigawatt-hour,Bulgaria,2022-03,203.201,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Wind,Gigawatt-hour,Bulgaria,2022-04,139.042,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Wind,Gigawatt-hour,Bulgaria,2022-05,72.224,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Wind,Gigawatt-hour,Bulgaria,2022-06,84.241,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Wind,Gigawatt-hour,Bulgaria,2022-07,76.528,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Wind,Gigawatt-hour,Bulgaria,2022-08,95.472,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Wind,Gigawatt-hour,Bulgaria,2022-09,106.333,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Wind,Gigawatt-hour,Bulgaria,2022-10,92.313,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Wind,Gigawatt-hour,Bulgaria,2022-11,126.164,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Wind,Gigawatt-hour,Bulgaria,2022-12,140.551,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Wind,Gigawatt-hour,Bulgaria,2023-01,186.168,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Wind,Gigawatt-hour,Bulgaria,2023-02,189.090,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Wind,Gigawatt-hour,Bulgaria,2023-03,123.299,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Wind,Gigawatt-hour,Bulgaria,2023-04,131.925,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Wind,Gigawatt-hour,Bulgaria,2023-05,106.857,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Wind,Gigawatt-hour,Bulgaria,2023-06,58.139,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Wind,Gigawatt-hour,Bulgaria,2023-07,104.786,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Wind,Gigawatt-hour,Bulgaria,2023-08,103.788,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Wind,Gigawatt-hour,Bulgaria,2023-09,129.943,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Wind,Gigawatt-hour,Bulgaria,2023-10,110.177,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Wind,Gigawatt-hour,Bulgaria,2023-11,165.593,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Wind,Gigawatt-hour,Bulgaria,2023-12,174.087,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Wind,Gigawatt-hour,Bulgaria,2024-01,193.162,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Wind,Gigawatt-hour,Bulgaria,2024-02,149.182,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Wind,Gigawatt-hour,Bulgaria,2024-03,101.323,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Wind,Gigawatt-hour,Bulgaria,2024-04,130.085,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Wind,Gigawatt-hour,Bulgaria,2024-05,88.794,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Wind,Gigawatt-hour,Bulgaria,2024-06,56.897,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Wind,Gigawatt-hour,Bulgaria,2024-07,85.306,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Wind,Gigawatt-hour,Bulgaria,2024-08,77.863,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Wind,Gigawatt-hour,Bulgaria,2024-09,100.869,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Wind,Gigawatt-hour,Bulgaria,2024-10,97.431,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Wind,Gigawatt-hour,Bulgaria,2024-11,127.329,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Wind,Gigawatt-hour,Bulgaria,2024-12,168.843,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Wind,Gigawatt-hour,Bulgaria,2025-01,128.428,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Wind,Gigawatt-hour,Bulgaria,2025-02,148.6,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Wind,Gigawatt-hour,Bulgaria,2025-03,124.383,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Wind,Gigawatt-hour,Bulgaria,2025-04,94.277,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Wind,Gigawatt-hour,Bulgaria,2025-05,84.030,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Wind,Gigawatt-hour,Bulgaria,2025-06,71.843,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Wind,Gigawatt-hour,Bulgaria,2025-07,74.597,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Wind,Gigawatt-hour,Bulgaria,2025-08,73.604,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Wind,Gigawatt-hour,Germany,2019-01,14166.000,e,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Wind,Gigawatt-hour,Germany,2019-02,11082.000,e,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Wind,Gigawatt-hour,Germany,2019-03,16771.000,e,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Wind,Gigawatt-hour,Germany,2019-04,9230.000,e,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Wind,Gigawatt-hour,Germany,2019-05,8424.000,e,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Wind,Gigawatt-hour,Germany,2019-06,6691.000,e,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Wind,Gigawatt-hour,Germany,2019-07,6680.000,e,
