"Country","Year","Combustible fuels","Hydro","Solar","Wind","Nuclear fuels and other fuels n.e.c.","Natural gas","Renewables and biofuels"
"Bulgaria","2019-01",2258.89,268.191,54.381,158.031,1486.361,246.353,560.545
"Bulgaria","2019-02",1845.247,328.994,83.937,169.365,1352.143,234.159,657.043
"Bulgaria","2019-03",1554.049,296.738,139.382,133.213,1495.897,213.455,594.263
"Bulgaria","2019-04",1379.775,282.423,131.156,85.111,1431.42,187.027,526.974
"Bulgaria","2019-05",1375.143,374.126,150.771,91.33,750.235,125.296,693.572
"Bulgaria","2019-06",896.189,460.469,157.21,84.033,1215.83,92.043,763.351
"Bulgaria","2019-07",1314.809,276.247,165.581,56.691,1440.786,98.476,599.295
"Bulgaria","2019-08",1362.459,252.31,171.928,89.461,1462.872,94.607,612.78
"Bulgaria","2019-09",1406.239,165.861,139.166,87.395,1193.353,94.176,445.493
"Bulgaria","2019-10",1770.537,181.817,122.407,60.497,918.528,116.781,446.36
"Bulgaria","2019-11",1604.063,209.061,50.317,145.322,1432.184,163.914,458.631
"Bulgaria","2019-12",1700.854,259.073,58.053,157.341,1532.836,233.763,532.93
"Bulgaria","2020-01",1650.42,148.865,85.037,167.657,1532.529,257.504,479.482
"Bulgaria","2020-02",1572.737,158.618,94.662,176.257,1433.063,220.636,418.507
"Bulgaria","2020-03",1417.26,335.05,115.196,188.932,1514.379,211.943,638.451
"Bulgaria","2020-04",1115.59,451.699,155.501,127.131,941.924,131.477,746.31
"Bulgaria","2020-05",914.831,424.22,151.251,124.065,886.07,88.762,729.003
"Bulgaria","2020-06",842.407,382.408,155.494,68.726,1451.806,86.541,660.548
"Bulgaria","2020-07",1023.758,302.918,177.397,71.232,1494.902,83.561,654.945
"Bulgaria","2020-08",1061.36,240.679,168.76,78.551,1482.825,107.958,588.641
"Bulgaria","2020-09",1163.197,197.526,151.778,106.878,1195.389,103.464,580.954
"Bulgaria","2020-10",1374.451,203.192,110.722,92.499,920.059,187.247,535
"Bulgaria","2020-11",1437.097,239.489,78.141,112.559,1446.393,264.202,562.453
"Bulgaria","2020-12",1562.621,289.958,34.477,163.639,1487.928,293.081,584.58
"Bulgaria","2021-01",1548.855,559.945,61.798,173.858,1457.399,331.268,874.096
"Bulgaria","2021-02",1336.965,534.611,90.674,130.717,1354.824,294.147,849.767
"Bulgaria","2021-03",1602.355,518.521,121.411,161.937,1510.119,319.957,955.839
"Bulgaria","2021-04",1602.514,609.889,143.82,80.575,1090.098,192.105,984.332
"Bulgaria","2021-05",1376.499,610.364,172.897,103.121,781.924,191.451,995.299
"Bulgaria","2021-06",815.452,521.914,154.233,86.449,1410.021,155.889,886.529
"Bulgaria","2021-07",1437.713,333.183,191.896,84.865,1459.986,257.78,786.035
"Bulgaria","2021-08",1616.915,244.447,185.531,65.243,1466.382,175.795,673.599
"Bulgaria","2021-09",1846.329,197.894,140.316,95.409,1364.466,191.244,635.023
"Bulgaria","2021-10",2282.402,265.637,98.263,121.035,753.933,155.015,716.173
"Bulgaria","2021-11",2101.234,236.688,70.75,124.628,1466.962,186.109,637.008
"Bulgaria","2021-12",2296.642,461.316,55.529,206.351,1534.717,254.157,923.093
"Bulgaria","2022-01",2432.371,422.157,90.329,219.223,1539.181,316.188,909.474
"Bulgaria","2022-02",2146.514,280.854,108.734,143.742,1389.431,205.162,716.07
