Reporter;TradeFlow;ProductCode;Product Description;Year;Partner;Trade Value 1000USD;Quantity;Quantity Unit
European Union;Import;271111;Natural gas, liquefied;2023;Russian Federation;        8752081.01;1.24141e+010;Kg
China;Import;271111;Natural gas, liquefied;2023;Russian Federation;        5182762.67;8.04401e+009;Kg
Japan;Import;271111;Natural gas, liquefied;2023;Russian Federation;        4166089.53;6.13333e+009;Kg
Spain;Import;271111;Natural gas, liquefied;2023;Russian Federation;        2493841.17;3.84976e+009;Kg
France;Import;271111;Natural gas, liquefied;2023;Russian Federation;        2290744.49;3.49805e+009;Kg
Belgium;Import;271111;Natural gas, liquefied;2023;Russian Federation;        1844929.64;2.80892e+009;Kg
Netherlands;Import;271111;Natural gas, liquefied;2023;Russian Federation;        1421381.41;1.12476e+009;Kg
Korea, Rep.;Import;271111;Natural gas, liquefied;2023;Russian Federation;        1058009.08;1.65396e+009;Kg
India;Import;271111;Natural gas, liquefied;2023;Russian Federation;         296400.34;4.21676e+008;Kg
Other Asia, nes;Import;271111;Natural gas, liquefied;2023;Russian Federation;         289176.72;5.55295e+008;Kg
Greece;Import;271111;Natural gas, liquefied;2023;Russian Federation;         277530.95;5.48839e+008;Kg
Portugal;Import;271111;Natural gas, liquefied;2023;Russian Federation;         206567.18;2.85988e+008;Kg
Italy;Import;271111;Natural gas, liquefied;2023;Russian Federation;          67358.58;7.16773e+007;Kg
Finland;Import;271111;Natural gas, liquefied;2023;Russian Federation;          62009.08;1.3312e+008;Kg
Singapore;Import;271111;Natural gas, liquefied;2023;Russian Federation;          39425.09;6.9487e+007;Kg
Sweden;Import;271111;Natural gas, liquefied;2023;Russian Federation;          36725.26;8.1541e+007;Kg
Norway;Import;271111;Natural gas, liquefied;2023;Russian Federation;          20005.26;4.2832e+007;Kg
Jordan;Import;271111;Natural gas, liquefied;2023;Russian Federation;          10255.73;1.56609e+007;Kg
Estonia;Import;271111;Natural gas, liquefied;2023;Russian Federation;           2907.14;5.3816e+006;Kg
Kazakhstan;Import;271111;Natural gas, liquefied;2023;Russian Federation;           2498.45;8.33963e+006;Kg
Lithuania;Import;271111;Natural gas, liquefied;2023;Russian Federation;           2478.52;5.3754e+006;Kg
Mongolia;Import;271111;Natural gas, liquefied;2023;Russian Federation;            572.05;985500;Kg
Georgia;Import;271111;Natural gas, liquefied;2023;Russian Federation;              2.94;8000;Kg
