DATAFLOW,LAST UPDATE,freq,siec,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Fossil energy,Gigawatt-hour,Bulgaria,2024-01,1161.239,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Fossil energy,Gigawatt-hour,Bulgaria,2024-02,803.972,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Fossil energy,Gigawatt-hour,Bulgaria,2024-03,755.165,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Fossil energy,Gigawatt-hour,Bulgaria,2024-04,506.152,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Fossil energy,Gigawatt-hour,Bulgaria,2024-05,429.174,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Fossil energy,Gigawatt-hour,Bulgaria,2024-06,377.519,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Fossil energy,Gigawatt-hour,Bulgaria,2024-07,846.235,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Fossil energy,Gigawatt-hour,Bulgaria,2024-08,667.447,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Fossil energy,Gigawatt-hour,Bulgaria,2024-09,693.872,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Fossil energy,Gigawatt-hour,Bulgaria,2024-10,695.986,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Fossil energy,Gigawatt-hour,Bulgaria,2024-11,1174.247,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Fossil energy,Gigawatt-hour,Bulgaria,2024-12,1399.138,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Fossil energy,Gigawatt-hour,Bulgaria,2025-01,1600.632,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Fossil energy,Gigawatt-hour,Bulgaria,2025-02,1639.909,,
