DATAFLOW,LAST UPDATE,freq,siec,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Hydro,Gigawatt-hour,Bulgaria,2019-01,268.191,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Hydro,Gigawatt-hour,Bulgaria,2019-02,328.994,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Hydro,Gigawatt-hour,Bulgaria,2019-03,296.738,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Hydro,Gigawatt-hour,Bulgaria,2019-04,282.423,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Hydro,Gigawatt-hour,Bulgaria,2019-05,374.126,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Hydro,Gigawatt-hour,Bulgaria,2019-06,460.469,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Hydro,Gigawatt-hour,Bulgaria,2019-07,276.247,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Hydro,Gigawatt-hour,Bulgaria,2019-08,252.310,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Hydro,Gigawatt-hour,Bulgaria,2019-09,165.861,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Hydro,Gigawatt-hour,Bulgaria,2019-10,181.817,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Hydro,Gigawatt-hour,Bulgaria,2019-11,209.061,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Hydro,Gigawatt-hour,Bulgaria,2019-12,259.073,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Hydro,Gigawatt-hour,Bulgaria,2020-01,148.865,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Hydro,Gigawatt-hour,Bulgaria,2020-02,158.618,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Hydro,Gigawatt-hour,Bulgaria,2020-03,335.050,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Hydro,Gigawatt-hour,Bulgaria,2020-04,451.699,,
