Reporter;TradeFlow;ProductCode;Product Description;Year;Partner;Trade Value 1000USD;Quantity;Quantity Unit
Japan;Import;271111;Natural gas, liquefied;2019;Russian Federation;        3096508.31;6.39864e+009;Kg
European Union;Import;271111;Natural gas, liquefied;2019;Russian Federation;        2561870.40;9.17166e+009;Kg
France;Import;271111;Natural gas, liquefied;2019;Russian Federation;        1185698.47;3.49328e+009;Kg
China;Import;271111;Natural gas, liquefied;2019;Russian Federation;        1132810.48;2.50579e+009;Kg
Korea, Rep.;Import;271111;Natural gas, liquefied;2019;Russian Federation;        1096920.02;2.24709e+009;Kg
Other Asia, nes;Import;271111;Natural gas, liquefied;2019;Russian Federation;         724292.24;1.48168e+009;Kg
Spain;Import;271111;Natural gas, liquefied;2019;Russian Federation;         533785.77;2.14139e+009;Kg
Belgium;Import;271111;Natural gas, liquefied;2019;Russian Federation;         351969.59;1.25291e+009;Kg
United Kingdom;Import;271111;Natural gas, liquefied;2019;Russian Federation;         332672.79;1.19087e+009;Kg
United States;Import;271111;Natural gas, liquefied;2019;Russian Federation;          52896.56;1.64617e+008;Kg
Lithuania;Import;271111;Natural gas, liquefied;2019;Russian Federation;          39868.65;1.79211e+008;Kg
Finland;Import;271111;Natural gas, liquefied;2019;Russian Federation;          30977.69;9.12659e+007;Kg
Sweden;Import;271111;Natural gas, liquefied;2019;Russian Federation;          29850.24;7.0908e+007;Kg
Portugal;Import;271111;Natural gas, liquefied;2019;Russian Federation;          26452.93;7.0958e+007;Kg
India;Import;271111;Natural gas, liquefied;2019;Russian Federation;          23603.19;3.5884e+007;Kg
Greece;Import;271111;Natural gas, liquefied;2019;Russian Federation;           4290.48;1.32301e+007;Kg
Estonia;Import;271111;Natural gas, liquefied;2019;Russian Federation;           3128.79;9.90374e+006;Kg
Kazakhstan;Import;271111;Natural gas, liquefied;2019;Russian Federation;           2590.20;8.078e+006;Kg
Czech Republic;Import;271111;Natural gas, liquefied;2019;Russian Federation;            114.83;324000;Kg
Mongolia;Import;271111;Natural gas, liquefied;2019;Russian Federation;             33.12;33400;Kg
Belarus;Import;271111;Natural gas, liquefied;2019;Russian Federation;              6.10;15200;Kg
