DATAFLOW,LAST UPDATE,freq,siec,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Renewables and biofuels,Gigawatt-hour,Bulgaria,2019-01,560.545,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Renewables and biofuels,Gigawatt-hour,Bulgaria,2019-02,657.043,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Renewables and biofuels,Gigawatt-hour,Bulgaria,2019-03,594.263,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Renewables and biofuels,Gigawatt-hour,Bulgaria,2019-04,526.974,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Renewables and biofuels,Gigawatt-hour,Bulgaria,2019-05,693.572,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Renewables and biofuels,Gigawatt-hour,Bulgaria,2019-06,763.351,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Renewables and biofuels,Gigawatt-hour,Bulgaria,2019-07,599.295,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Renewables and biofuels,Gigawatt-hour,Bulgaria,2019-08,612.780,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Renewables and biofuels,Gigawatt-hour,Bulgaria,2019-09,445.493,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Renewables and biofuels,Gigawatt-hour,Bulgaria,2019-10,446.360,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Renewables and biofuels,Gigawatt-hour,Bulgaria,2019-11,458.631,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Renewables and biofuels,Gigawatt-hour,Bulgaria,2019-12,532.930,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Renewables and biofuels,Gigawatt-hour,Bulgaria,2020-01,479.482,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Renewables and biofuels,Gigawatt-hour,Bulgaria,2020-02,418.507,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Renewables and biofuels,Gigawatt-hour,Bulgaria,2020-03,638.451,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Renewables and biofuels,Gigawatt-hour,Bulgaria,2020-04,746.310,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Renewables and biofuels,Gigawatt-hour,Bulgaria,2020-05,729.003,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Renewables and biofuels,Gigawatt-hour,Bulgaria,2020-06,660.548,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Renewables and biofuels,Gigawatt-hour,Bulgaria,2020-07,654.945,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Renewables and biofuels,Gigawatt-hour,Bulgaria,2020-08,588.641,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Renewables and biofuels,Gigawatt-hour,Bulgaria,2020-09,580.954,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Renewables and biofuels,Gigawatt-hour,Bulgaria,2020-10,535.000,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Renewables and biofuels,Gigawatt-hour,Bulgaria,2020-11,562.453,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Renewables and biofuels,Gigawatt-hour,Bulgaria,2020-12,584.580,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Renewables and biofuels,Gigawatt-hour,Bulgaria,2021-01,874.096,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Renewables and biofuels,Gigawatt-hour,Bulgaria,2021-02,849.767,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Renewables and biofuels,Gigawatt-hour,Bulgaria,2021-03,955.839,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Renewables and biofuels,Gigawatt-hour,Bulgaria,2021-04,984.332,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Renewables and biofuels,Gigawatt-hour,Bulgaria,2021-05,995.299,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Renewables and biofuels,Gigawatt-hour,Bulgaria,2021-06,886.529,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Renewables and biofuels,Gigawatt-hour,Bulgaria,2021-07,786.035,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Renewables and biofuels,Gigawatt-hour,Bulgaria,2021-08,673.599,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Renewables and biofuels,Gigawatt-hour,Bulgaria,2021-09,635.023,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Renewables and biofuels,Gigawatt-hour,Bulgaria,2021-10,716.173,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Renewables and biofuels,Gigawatt-hour,Bulgaria,2021-11,637.008,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Renewables and biofuels,Gigawatt-hour,Bulgaria,2021-12,923.093,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Renewables and biofuels,Gigawatt-hour,Bulgaria,2022-01,909.474,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Renewables and biofuels,Gigawatt-hour,Bulgaria,2022-02,716.070,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Renewables and biofuels,Gigawatt-hour,Bulgaria,2022-03,925.485,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Renewables and biofuels,Gigawatt-hour,Bulgaria,2022-04,858.707,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Renewables and biofuels,Gigawatt-hour,Bulgaria,2022-05,812.096,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Renewables and biofuels,Gigawatt-hour,Bulgaria,2022-06,817.630,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Renewables and biofuels,Gigawatt-hour,Bulgaria,2022-07,788.550,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Renewables and biofuels,Gigawatt-hour,Bulgaria,2022-08,761.966,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Renewables and biofuels,Gigawatt-hour,Bulgaria,2022-09,651.858,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Renewables and biofuels,Gigawatt-hour,Bulgaria,2022-10,666.746,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Renewables and biofuels,Gigawatt-hour,Bulgaria,2022-11,606.435,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Renewables and biofuels,Gigawatt-hour,Bulgaria,2022-12,630.306,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Renewables and biofuels,Gigawatt-hour,Bulgaria,2023-01,686.799,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Renewables and biofuels,Gigawatt-hour,Bulgaria,2023-02,737.572,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Renewables and biofuels,Gigawatt-hour,Bulgaria,2023-03,679.347,,
