DATAFLOW,LAST UPDATE,freq,siec,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Total,Gigawatt-hour,Bulgaria,2019-01,4229.581,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Total,Gigawatt-hour,Bulgaria,2019-02,3783.311,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Total,Gigawatt-hour,Bulgaria,2019-03,3623.772,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Total,Gigawatt-hour,Bulgaria,2019-04,3314.141,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Total,Gigawatt-hour,Bulgaria,2019-05,2744.568,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Total,Gigawatt-hour,Bulgaria,2019-06,2815.823,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Total,Gigawatt-hour,Bulgaria,2019-07,3255.951,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Total,Gigawatt-hour,Bulgaria,2019-08,3339.030,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Total,Gigawatt-hour,Bulgaria,2019-09,2992.530,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Total,Gigawatt-hour,Bulgaria,2019-10,3054.077,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Total,Gigawatt-hour,Bulgaria,2019-11,3444.756,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Total,Gigawatt-hour,Bulgaria,2019-12,3711.429,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Total,Gigawatt-hour,Bulgaria,2020-01,3588.020,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Total,Gigawatt-hour,Bulgaria,2020-02,3438.723,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Total,Gigawatt-hour,Bulgaria,2020-03,3574.732,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Total,Gigawatt-hour,Bulgaria,2020-04,2796.042,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Total,Gigawatt-hour,Bulgaria,2020-05,2504.087,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Total,Gigawatt-hour,Bulgaria,2020-06,2904.612,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Total,Gigawatt-hour,Bulgaria,2020-07,3072.800,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Total,Gigawatt-hour,Bulgaria,2020-08,3032.175,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Total,Gigawatt-hour,Bulgaria,2020-09,2814.802,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Total,Gigawatt-hour,Bulgaria,2020-10,2704.477,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Total,Gigawatt-hour,Bulgaria,2020-11,3316.989,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Total,Gigawatt-hour,Bulgaria,2020-12,3542.105,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Total,Gigawatt-hour,Bulgaria,2021-01,3804.868,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Total,Gigawatt-hour,Bulgaria,2021-02,3450.609,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Total,Gigawatt-hour,Bulgaria,2021-03,3917.608,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Total,Gigawatt-hour,Bulgaria,2021-04,3530.417,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Total,Gigawatt-hour,Bulgaria,2021-05,3048.950,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Total,Gigawatt-hour,Bulgaria,2021-06,2992.516,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Total,Gigawatt-hour,Bulgaria,2021-07,3512.016,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Total,Gigawatt-hour,Bulgaria,2021-08,3578.518,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Total,Gigawatt-hour,Bulgaria,2021-09,3644.414,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Total,Gigawatt-hour,Bulgaria,2021-10,3523.075,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Total,Gigawatt-hour,Bulgaria,2021-11,4004.655,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Total,Gigawatt-hour,Bulgaria,2021-12,4557.955,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Total,Gigawatt-hour,Bulgaria,2022-01,4706.553,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Total,Gigawatt-hour,Bulgaria,2022-02,4072.627,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Total,Gigawatt-hour,Bulgaria,2022-03,4683.338,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Total,Gigawatt-hour,Bulgaria,2022-04,3754.041,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Total,Gigawatt-hour,Bulgaria,2022-05,3292.464,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Total,Gigawatt-hour,Bulgaria,2022-06,3689.910,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Total,Gigawatt-hour,Bulgaria,2022-07,3823.629,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Total,Gigawatt-hour,Bulgaria,2022-08,3771.267,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Total,Gigawatt-hour,Bulgaria,2022-09,3374.498,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Total,Gigawatt-hour,Bulgaria,2022-10,2883.190,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Total,Gigawatt-hour,Bulgaria,2022-11,3803.385,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Total,Gigawatt-hour,Bulgaria,2022-12,3969.229,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Total,Gigawatt-hour,Bulgaria,2023-01,4026.020,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Total,Gigawatt-hour,Bulgaria,2023-02,3743.668,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Total,Gigawatt-hour,Bulgaria,2023-03,3385.401,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Total,Gigawatt-hour,Bulgaria,2023-04,2795.315,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Total,Gigawatt-hour,Bulgaria,2023-05,2301.646,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Total,Gigawatt-hour,Bulgaria,2023-06,2760.236,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Total,Gigawatt-hour,Bulgaria,2023-07,3093.930,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Total,Gigawatt-hour,Bulgaria,2023-08,2964.622,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Total,Gigawatt-hour,Bulgaria,2023-09,2883.815,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Total,Gigawatt-hour,Bulgaria,2023-10,2526.321,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Total,Gigawatt-hour,Bulgaria,2023-11,2816.303,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Total,Gigawatt-hour,Bulgaria,2023-12,3439.238,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Total,Gigawatt-hour,Bulgaria,2024-01,3402.806,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Total,Gigawatt-hour,Bulgaria,2024-02,2949.795,,
ESTAT:NRG_CB_PEM(1.0),11/11/25 23:00:00,Monthly,Total,Gigawatt-hour,Bulgaria,2024-03,3066.402,,
